GridLine,GridStation,StandardLat,StandardLon
-200,140,-69.03622097,-79.64486448
-200,120,-69.18457128,-79.36107562
-200,100,-69.3324343,-79.0734669
-200,80,-69.47980015,-78.78196541
-200,60,-69.62665873,-78.48649694
-200,40,-69.77299967,-78.18698596
-200,20,-69.91881237,-77.88335566
-200,0,-70.06408598,-77.57552786
-200,-20,-70.20880938,-77.2634231
-200,-40,-70.35297118,-76.94696055
-200,-60,-70.49655971,-76.6260581
-200,-80,-70.63956301,-76.30063227
-200,-100,-70.78196883,-75.9705983
